Organism	Strain	GenBank	GenBank	BioSample	BioProject	collection date	geographic location	host	isolation source
Corynebacterium striatum	ICDC.Cs524	GCA_015891145.1	GCA_015891145.1	SAMN12388770	PRJNA514245	2018	China: Guangzhou	patient	sputum
Corynebacterium striatum	ICDC.Cs291	GCA_015891165.1	GCA_015891165.1	SAMN12388693	PRJNA514245	2017	China: Guangzhou	patient	sputum
Corynebacterium striatum	ICDC.Cs003	GCA_015891185.1	GCA_015891185.1	SAMN12388617	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs287	GCA_015891205.1	GCA_015891205.1	SAMN12388689	PRJNA514245	2017	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs209	GCA_015891225.1	GCA_015891225.1	SAMN12388670	PRJNA514245	2017	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs029	GCA_015891245.1	GCA_015891245.1	SAMN12388624	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs025	GCA_015891265.1	GCA_015891265.1	SAMN12388623	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs295	GCA_015891285.1	GCA_015891285.1	SAMN12388696	PRJNA514245	2017	China: Guangzhou	patient	sputum
Corynebacterium striatum	ICDC.Cs368	GCA_015891305.1	GCA_015891305.1	SAMN12388714	PRJNA514245	2017	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs294	GCA_015891325.1	GCA_015891325.1	SAMN12388695	PRJNA514245	2017	China: Guangzhou	patient	blood
Corynebacterium striatum	ICDC.Cs365	GCA_015891345.1	GCA_015891345.1	SAMN12388712	PRJNA514245	2017	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs232	GCA_015891365.1	GCA_015891365.1	SAMN12388673	PRJNA514245	2017	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs461	GCA_015891385.1	GCA_015891385.1	SAMN12388761	PRJNA514245	2018	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs275	GCA_015891405.1	GCA_015891405.1	SAMN12388682	PRJNA514245	2017	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs479	GCA_015891425.1	GCA_015891425.1	SAMN12388764	PRJNA514245	2018	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs470	GCA_015891445.1	GCA_015891445.1	SAMN12388763	PRJNA514245	2018	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs468	GCA_015891465.1	GCA_015891465.1	SAMN12388762	PRJNA514245	2018	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs202	GCA_015891485.1	GCA_015891485.1	SAMN12388667	PRJNA514245	2017	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs364	GCA_015891505.1	GCA_015891505.1	SAMN12388711	PRJNA514245	2017	"	China: Tangshan"	patient	sputum
Corynebacterium striatum	ICDC.Cs205	GCA_015891525.1	GCA_015891525.1	SAMN12388669	PRJNA514245	2017	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs426	GCA_015891545.1	GCA_015891545.1	SAMN12388757	PRJNA514245	2018	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs199	GCA_015891565.1	GCA_015891565.1	SAMN12388666	PRJNA514245	2017	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs399	GCA_015891585.1	GCA_015891585.1	SAMN12388737	PRJNA514245	2017	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs184	GCA_015891605.1	GCA_015891605.1	SAMN12388665	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs248	GCA_015891665.1	GCA_015891665.1	SAMN12388676	PRJNA514245	2017	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs151	GCA_015891685.1	GCA_015891685.1	SAMN12388661	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs138	GCA_015891745.1	GCA_015891745.1	SAMN12388657	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs169	GCA_015891765.1	GCA_015891765.1	SAMN12388663	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs172	GCA_015891785.1	GCA_015891785.1	SAMN12388664	PRJNA514245	2016	China: Beijing	patient	urine
Corynebacterium striatum	ICDC.Cs149	GCA_015891805.1	GCA_015891805.1	SAMN12388660	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs140	GCA_015891815.1	GCA_015891815.1	SAMN12388658	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs145	GCA_015891845.1	GCA_015891845.1	SAMN12388659	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs211	GCA_015891865.1	GCA_015891865.1	SAMN12388671	PRJNA514245	2017	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs410	GCA_015891885.1	GCA_015891885.1	SAMN12388743	PRJNA514245	2018	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs225	GCA_015891905.1	GCA_015891905.1	SAMN12388672	PRJNA514245	2017	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs411	GCA_015891925.1	GCA_015891925.1	SAMN12388744	PRJNA514245	2018	"	China: Tangshan"	patient	sputum
Corynebacterium striatum	ICDC.Cs405	GCA_015891945.1	GCA_015891945.1	SAMN12388741	PRJNA514245	2018	"	China: Tangshan"	patient	sputum
Corynebacterium striatum	ICDC.Cs404	GCA_015891965.1	GCA_015891965.1	SAMN12388740	PRJNA514245	2018	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs413	GCA_015891985.1	GCA_015891985.1	SAMN12388746	PRJNA514245	2018	"	China: Tangshan"	patient	sputum
Corynebacterium striatum	ICDC.Cs401	GCA_015892005.1	GCA_015892005.1	SAMN12388739	PRJNA514245	2017	China: Tangshan	patient	sputum
Corynebacterium striatum		GCA_015892025.1	GCA_015892025.1	SAMN06624490	PRJNA514245	unknown	missing	Homo sapiens	Missing
Corynebacterium striatum	ICDC.Cs412	GCA_015892045.1	GCA_015892045.1	SAMN12388745	PRJNA514245	2018	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs362	GCA_015892065.1	GCA_015892065.1	SAMN12388709	PRJNA514245	2017	China: Tangshan	patient	sputum
Corynebacterium striatum		GCA_015892105.1	GCA_015892105.1	SAMN06624491	PRJNA514245	unknown	missing	Homo sapiens	Missing
Corynebacterium striatum	NJ1	GCA_015892295.1	GCA_015892295.1	SAMN16337255	PRJNA514245	2019	"	USA: Milwaukee, WI"		
Corynebacterium striatum	ICDC.Cs204	GCA_015913055.1	GCA_015913055.1	SAMN12388668	PRJNA514245	2017	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs185	GCA_015944615.1	GCA_015944615.1	SAMN10663096	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs488	GCA_015944675.1	GCA_015944675.1	SAMN10663171	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs471	GCA_015944695.1	GCA_015944695.1	SAMN10663164	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs476	GCA_015944715.1	GCA_015944715.1	SAMN10663167	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs475	GCA_015944735.1	GCA_015944735.1	SAMN10663166	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs198	GCA_015944755.1	GCA_015944755.1	SAMN10663102	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs477	GCA_015944775.1	GCA_015944775.1	SAMN10663168	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs481	GCA_015944795.1	GCA_015944795.1	SAMN10663169	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
